dataset,datasetTitle,year,location,municipality,crashCount,sourceLocationName,longitude,latitude,geocodeMatchType
motorcycle_crashes,Crashes involving motorcycles,2022,10TH AVE & CENTRAL ST E & CENTRAL ST W & HWY 97 S & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & 10th Ave ,-122.78177628409276,53.915447860379075,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,15TH AVE & CENTRAL ST E & CENTRAL ST W & HWY 97 S & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & 15th Ave ,-122.78179494195119,53.910312151553725,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,15TH AVE & SPRUCE ST & MALL ACCESS & TURNING LANE,PRINCE GEORGE,1,15th Ave  & Spruce St ,-122.75787971344289,53.90985047665654,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,5TH AVE & AHBAU ST & LYON ST,PRINCE GEORGE,1,5th Ave  & Lyon St ,-122.78432072548367,53.92061615056932,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,8TH AVE & CARNEY ST,PRINCE GEORGE,1,Carney St  & 8th Ave ,-122.7692973995918,53.917645464343316,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,8TH AVE & VICTORIA ST,PRINCE GEORGE,1,Victoria St  & 8th Ave ,-122.7522413647282,53.91402550297164,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,CARRIER AVE & HILL AVE & TABOR BLVD,PRINCE GEORGE,1,Tabor Blvd  & Hill Ave,-122.80703578190891,53.922499503227684,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,EVASKO RD & GISCOME RD,PRINCE GEORGE,1,Giscome Rd  & Evasko Rd ,-122.61665475361598,53.898384455367754,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,HALDI RD & HWY 16 W & TURNING LANE,PRINCE GEORGE,1,Hwy 16 W & Haldi Rd ,-122.83362087648663,53.8403468540641,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2022,HART HWY FRTG & MADILL RD & RICHET ST,PRINCE GEORGE,1,,,,
motorcycle_crashes,Crashes involving motorcycles,2022,RANGE RD & WESTWOOD DR,PRINCE GEORGE,1,Westwood Dr  & Range Rd ,-122.77958789188526,53.88456263041591,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,15TH AVE & 15TH AVE FRTG & AHBAU ST,PRINCE GEORGE,1,,,,
motorcycle_crashes,Crashes involving motorcycles,2023,15TH AVE & PATRICIA BLVD & VICTORIA ST & TURNING LANE,PRINCE GEORGE,1,Victoria St  & 15th Ave ,-122.7548642990933,53.910532795614444,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,15TH AVE & TABOR BLVD,PRINCE GEORGE,1,15th Ave  & Tabor Blvd ,-122.80702669201499,53.91044044434808,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,ALEZA CRES & OSPIKA BLVD,PRINCE GEORGE,1,Ospika Blvd  & Aleza Cres ,-122.79760459080913,53.91157711038689,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,AUSTIN RD W & KELLY RD S,PRINCE GEORGE,1,Austin Rd W & Kelly Rd S,-122.80116565456706,53.988857268522445,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,BLUEBERRY RD & HART HWY & HOFERKAMP RD & SCALE ACCESS & TURNING LANE,PRINCE GEORGE,1,Hart Hwy  & Hoferkamp Rd ,-122.75994634796145,53.93830782107887,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,DOMANO BLVD & GLADSTONE DR & ST LAWRENCE AVE,PRINCE GEORGE,1,Domano Blvd  & Domano Blvd ,-122.7710521207196,53.84646157118433,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,DOMANO BLVD & TRENT DR,PRINCE GEORGE,1,Domano Blvd  & Trent Dr ,-122.76699672121138,53.86370190114356,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,FERRY AVE & HWY 16 W & TURNING LANE,PRINCE GEORGE,1,Hwy 16 W & Ferry Ave ,-122.76736310375131,53.88887407036401,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,GISCOME RD & OLD CARIBOO HWY,PRINCE GEORGE,1,Old Cariboo Hwy  & Giscome Rd ,-122.6653861314918,53.89831669252651,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,HWY 97 S & MASSEY DR & PINE CENTRE RD & PINE CENTRE RD OFFRAMP & MALL ACCESS & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & Pine Centre Rd ,-122.77435190570137,53.89909187852446,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,NORTH NECHAKO RD & RIVERVIEW RD,PRINCE GEORGE,1,North Nechako Rd  & Riverview Rd ,-122.83056392977731,53.96240035196523,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2023,VICTORIA ST # 001000 TO 001099,PRINCE GEORGE,1,,,,
motorcycle_crashes,Crashes involving motorcycles,2024,5TH AVE & HARPER ST,PRINCE GEORGE,2,5th Ave  & Harper St ,-122.77671707651508,53.920625853155975,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,5TH AVE & BRIGADE DR & KERRY ST,PRINCE GEORGE,1,5th Ave  & Brigade Dr ,-122.79975140654926,53.92062327015756,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,5TH AVE & CENTRAL ST E & HWY 97 S & TURNING LANE,PRINCE GEORGE,1,Hwy 97 S & 5th Ave ,-122.78177854610227,53.9205941555201,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,5TH AVE & TABOR BLVD,PRINCE GEORGE,1,5th Ave  & Tabor Blvd ,-122.80762434320357,53.92062910542345,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,BLUEBERRY RD & HART HWY & HOFERKAMP RD & SCALE ACCESS & TURNING LANE,PRINCE GEORGE,1,Hart Hwy  & Hoferkamp Rd ,-122.75994634796145,53.93830782107887,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,DEL LAVERDURE WAY & MASSEY DR,PRINCE GEORGE,1,Massey Dr  & Del Laverdure Way ,-122.77367095575373,53.90357554176433,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,DOMANO BLVD & HWY 16 W & TYNER BLVD & TURNING LANE,PRINCE GEORGE,1,Domano Blvd  & Domano Blvd ,-122.7710521207196,53.84646157118433,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,DOMANO BLVD & MALASPINA AVE,PRINCE GEORGE,1,Domano Blvd  & Malaspina Ave ,-122.77041713510022,53.84894206001694,exact_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,DUFFERIN AVE & FOREST AVE & OSPIKA BLVD,PRINCE GEORGE,1,Ospika Blvd  & Forest Ave ,-122.78902474421145,53.89575059327287,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,HART HWY & HART HWY FRTG & NORDIC DR,PRINCE GEORGE,1,Hart Hwy  & Nordic Dr ,-122.80095549920783,53.999154791952165,subset_intersection_name
motorcycle_crashes,Crashes involving motorcycles,2024,HWY 16 W & HWY 97 S & INDUSTRIAL ACCESS ROAD & TURNING LANE,PRINCE GEORGE,1,,,,
