Priority_Rank,Priority_Category,FeatureType,AssetID,Benefit_Discrete,Impact,Contribution_Discrete,RepairCost_Low,RepairCost_Mid,RepairCost_High,Benefit_per_Cost_Mid,SurfaceFamily,AssetLength,ConditionScore,MI_Score_Public_Normalized,public_length_m,Contribution_Continuous,Benefit_Continuous,Benefit_Per_Asset_Length,WeightedDistressExtentRatio,MI_Value_Public_Rebuild,MI_Score_Public_Rebuild,Risk_Product_Public_MI_x_Condition,source_layer,SurfaceMaterial,A2_400m_Score,A2_250m_Score,A2_100m_Score,A3_400m_Score,A3_250m_Score,A3_100m_Score,A4_400m_Score,A4_250m_Score,A4_100m_Score,B0_400m_Score,B0_250m_Score,B0_100m_Score,B1_400m_Score,B1_250m_Score,B1_100m_Score,B2_400m_Score,B2_250m_Score,B2_100m_Score,B3_400m_Score,B3_250m_Score,B3_100m_Score,C2_400m_Score,C2_250m_Score,C2_100m_Score,C3_0m_Score,C4_0m_Score,C5_0m_Score,C6_0m_Score,D0_400m_Score,D0_250m_Score,D0_100m_Score,D1_400m_Score,D1_250m_Score,D1_100m_Score,D2_400m_Score,D2_250m_Score,D2_100m_Score,D3_400m_Score,D3_250m_Score,D3_100m_Score,D4_400m_Score,D4_250m_Score,D4_100m_Score,E6_0m_Score,F1_400m_Score,F1_250m_Score,F1_100m_Score,F9_400m_Score,F9_250m_Score,F9_100m_Score,G0_400m_Score,G0_250m_Score,G0_100m_Score,G1_0m_Score,G2_0m_Score,G3_0m_Score,G4_0m_Score,G5_0m_Score,A1_400m_Score,A1_250m_Score,A1_100m_Score,E0_400m_Score,E0_250m_Score,E0_100m_Score,E1_400m_Score,E1_250m_Score,E1_100m_Score,E2_400m_Score,E2_250m_Score,E2_100m_Score,E3_400m_Score,E3_250m_Score,E3_100m_Score,C0_400m_Score,C0_250m_Score,C0_100m_Score,F0_400m_Score,F0_250m_Score,F0_100m_Score,F8_400m_Score,F8_250m_Score,F8_100m_Score,F2_0m_Score,F3_0m_Score,F4_0m_Score,F6_0m_Score,F7_0m_Score,A0_400m_Score,A0_250m_Score,A0_100m_Score,A5_400m_Score,A5_250m_Score,A5_100m_Score,C1_400m_Score,C1_250m_Score,C1_100m_Score,E4_0m_Score,E5_0m_Score,DistressExtentRatio,U_Gap_L3,U_Grade_L3,U_Trip_L3,D_Crack_L1,D_Crack_L2,D_Crossfall_L1,D_Heave_L1,D_Heave_L2,D_Patch_L1,D_Patch_L2,D_Ponding_L1,D_Ponding_L2,D_Rough_L1,D_Rough_L2,D_Trip_L1,D_Trip_L2,D_Utility_L1,D_Utility_L2,T_Crossfall_L1,T_Culvert_L1,T_Obstruct_L1,T_Pond_L2,T_Rocks_L1,T_Roots_L1,T_Roots_L2,T_Rut_L1,T_Rut_L2,T_Veg_L1,T_Mud_L1,T_Pond_L1,T_Rocks_L2,T_Steps_L1,T_Structure_L1,PedestrianIncidents_50m_2020_2024,ConditionScore_num,WeightedDistressExtentRatio_num,AssetLength_num,Benefit_With_Incidents,public_length_m_num
140,High,RPath,452,12.0,4.0,3.0,113.0,169.0,226.0,0.07100591715976332,Asphalt,74.0,2.0,4,71.67,0.061,0.244,0.1621621621621621,0.061,67,4,8.0,sidewalks,PB,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,0,0,5,0,3,1,0,0,0,1,0,0,1,2,2,1,0,0,1,2,0,1,2,0,1,0,0,0,0,0,5,3,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0.061,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,,,,,,,2,2.0,0.061,74.0,32.0,71.67
141,High,RPath,457,12.0,4.0,3.0,68.0,101.0,135.0,0.1188118811881188,Asphalt,79.6,2.0,4,82.138,0.028,0.112,0.1507537688442211,0.028,74,4,8.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,1,2,2,1,2,0,1,2,0,0,0,0,1,2,2,5,1,2,0,0,1,1,1,2,2,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1,1,1,2,2,0,0,0,0,0,0,5,0,0.094,,,,0.075,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,1,2.0,0.028,79.6,22.0,82.138
142,High,RPath,463,12.0,4.0,3.0,30.0,45.0,60.0,0.26666666666666666,Asphalt,86.9,2.0,4,86.57,0.03,0.12,0.1380897583429229,0.03,69,4,8.0,sidewalks,HMAC,1,2,0,1,2,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0.069,,,,0.052,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.03,86.9,12.0,86.57
143,High,RPath,464,12.0,4.0,3.0,30.0,45.0,60.0,0.26666666666666666,Asphalt,87.2,2.0,4,87.081,0.03,0.12,0.1376146788990825,0.03,75,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,5,0,1,0,0,1,2,0,0,0,0,1,0,0,5,0,0.069,,,,0.052,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.03,87.2,22.0,87.081
144,High,RPath,474,12.0,4.0,3.0,115.0,172.0,229.0,0.06976744186046512,Asphalt,224.8,2.0,4,228.196,0.02,0.08,0.0533807829181494,0.02,73,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,1,2,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,2,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.073,,,,0.067,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,1,2.0,0.02,224.8,22.0,228.196
145,High,RPath,493,12.0,4.0,3.0,15.0,22.0,30.0,0.5454545454545454,Asphalt,58.4,2.0,4,58.858,0.051,0.204,0.2054794520547945,0.051,67,4,8.0,sidewalks,PB,1,2,2,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,1,2,2,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,1,2,2,1,2,0,1,2,0,1,0,0,1,0,0,0,0,0,5,3,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0.051,,,,,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,0.051,58.4,32.0,58.858
146,High,RPath,498,12.0,4.0,3.0,299.0,448.0,598.0,0.026785714285714284,Asphalt,90.6,2.0,4,87.913,0.033,0.132,0.1324503311258278,0.033,71,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,1,0,0,1,2,0,1,2,0,1,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.033,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.033,90.6,12.0,87.913
147,High,RPath,499,12.0,4.0,3.0,111.0,166.0,222.0,0.07228915662650602,Asphalt,87.0,2.0,4,87.352,0.043,0.172,0.1379310344827586,0.043,67,4,8.0,sidewalks,HMAC,1,2,2,1,0,0,1,0,0,1,2,0,1,2,0,1,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.052,,,,,,,,,,,,,,,,0.034,0.017,,,,,,,,,,,,,,,,,0,2.0,0.043,87.0,12.0,87.352
148,High,RPath,514,12.0,4.0,3.0,22.0,34.0,45.0,0.35294117647058826,Asphalt,62.5,2.0,4,60.25,0.054,0.216,0.192,0.054,79,4,8.0,sidewalks,CON,1,2,2,1,2,0,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,2,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0,0.072,,,,0.024,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.054,62.5,12.0,60.25
149,High,RPath,529,12.0,4.0,3.0,30.0,45.0,60.0,0.26666666666666666,Asphalt,85.0,2.0,4,85.041,0.018,0.072,0.1411764705882353,0.018,77,4,8.0,sidewalks,HMAC,1,2,2,1,2,0,0,0,0,0,0,0,1,2,2,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,5,1,2,0,0,1,1,1,2,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,5,0,1,0,0,1,2,0,0,0,0,1,2,0,5,0,0.071,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.018,85.0,22.0,85.041
150,High,RPath,540,12.0,4.0,3.0,188.0,282.0,376.0,0.0425531914893617,Asphalt,102.6,2.0,4,102.601,0.091,0.364,0.1169590643274853,0.091,79,4,8.0,sidewalks,CON,1,2,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,5,0,3,0,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,1,2,2,1,2,0,1,0,0,0,0,1,1,1,1,2,2,1,2,2,1,2,0,5,0,0.366,,,,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.091,102.6,12.0,102.601
151,High,RPath,543,12.0,4.0,3.0,188.0,282.0,376.0,0.0425531914893617,Asphalt,74.1,2.0,4,74.052,0.081,0.324,0.1619433198380566,0.081,80,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,0,1,1,2,0,1,0,0,1,2,2,0,0,0,1,2,2,1,2,2,1,2,2,1,0,0,5,0,1,1,1,1,2,2,1,2,0,1,2,0,5,0,0.263,,,,0.203,,,,,,,,,,,0.061,,,,,,,,,,,,,,,,,,,0,2.0,0.081,74.1,12.0,74.052
152,High,RPath,544,12.0,4.0,3.0,15.0,22.0,30.0,0.5454545454545454,Asphalt,74.3,2.0,4,74.322,0.01,0.04,0.161507402422611,0.01,77,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,0,1,1,2,0,0,0,0,1,2,2,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,5,0,1,1,1,1,2,0,1,2,2,1,2,0,5,0,0.04,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.0,0.01,74.3,12.0,74.322
153,High,RPath,545,12.0,4.0,3.0,216.0,324.0,432.0,0.037037037037037035,Asphalt,91.9,2.0,4,91.935,0.057,0.228,0.1305767138193688,0.057,73,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,0,0,1,1,1,1,2,2,1,2,0,1,2,0,5,0,0.147,,,,0.065,,,,,,,,,,,0.065,,0.016,,,,,,,,,,,,,,,,,0,2.0,0.057,91.9,12.0,91.935
154,High,RPath,548,12.0,4.0,3.0,240.0,360.0,480.0,0.03333333333333333,Asphalt,91.8,2.0,4,91.754,0.057,0.228,0.130718954248366,0.057,83,5,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,2,0,0,0,0,0,0,5,5,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,0,0,1,1,1,1,2,2,1,2,0,1,2,0,5,0,0.131,,,,0.033,,,,,,,,,,,0.016,,0.082,,,,,,,,,,,,,,,,,0,2.0,0.057,91.8,12.0,91.754
155,High,RPath,549,12.0,4.0,3.0,90.0,135.0,180.0,0.08888888888888889,Asphalt,74.0,2.0,4,74.025,0.061,0.244,0.1621621621621621,0.061,73,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,2,2,0,0,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,0,0,1,1,1,1,2,0,1,2,0,1,2,0,5,0,0.243,,,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.061,74.0,22.0,74.025
156,High,RPath,550,12.0,4.0,3.0,209.0,314.0,418.0,0.03821656050955414,Asphalt,92.1,2.0,4,92.087,0.053,0.212,0.1302931596091205,0.053,79,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,2,2,0,0,0,3,1,1,0,0,1,0,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,0,0,1,1,1,1,2,2,1,2,0,1,2,0,5,0,0.13,,,,0.049,,,,,,,,,,,,,0.081,,,,,,,,,,,,,,,,,1,2.0,0.053,92.1,22.0,92.087
157,High,RPath,554,12.0,4.0,3.0,90.0,135.0,180.0,0.08888888888888889,Asphalt,72.6,2.0,4,72.616,0.062,0.248,0.1652892561983471,0.062,76,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,2,2,0,0,0,3,1,1,0,0,1,2,0,1,2,0,0,0,0,1,2,2,1,2,2,1,2,2,1,2,0,0,0,1,1,1,1,2,2,1,2,0,1,2,0,5,0,0.248,,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.062,72.6,22.0,72.616
158,High,RPath,557,12.0,4.0,3.0,312.0,468.0,624.0,0.02564102564102564,Asphalt,91.4,2.0,4,91.375,0.057,0.228,0.1312910284463894,0.057,71,4,8.0,sidewalks,CON,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,0,0,0,5,0,0,0,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,2,2,0,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,1,2,0,1,2,0,1,2,2,1,2,0,0,0,1,1,1,1,2,2,1,0,0,1,2,0,5,0,0.115,,,0.016,0.033,,,,,,,,,,,,,0.066,,,,,,,,,,,,,,,,,0,2.0,0.057,91.4,12.0,91.375
