sensor_index,monitor,network,lat,lng,date,prov_terr,pm25_recent_r,pm25_recent,pm25_1hr_r,pm25_1hr,pm25_3hr_r,pm25_3hr,pm25_24hr_r,pm25_24hr,temperature,rh,pressure,val_24hr_r,val_1hr_r,val_r,val_24hr,val_1hr,val,icon_url_24hr_r,icon_url_1hr_r,icon_url_r,icon_url_24hr,icon_url_1hr,icon_url
223537,Mackenzie County - Zama,PA,59.15501,-118.67624,2025-10-17 21:00:00,Alberta,0,0,0,0,0.4,0.4,0.6,0.4,14.3,34.3,951.6,1,0,0,0,0,0,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_0.png
223581,Elementary school,PA,48.60674,-118.054184,2025-10-17 21:00:00,United States,28.9,24.3,25.4,21.3,20.8,17.6,17.7,14.2,16.1,44,955.9,18,25,29,14,21,24,icons/icon_21_18.png,icons/icon_21_25.png,icons/icon_21_29.png,icons/icon_21_14.png,icons/icon_21_21.png,icons/icon_21_24.png
223589,Cambridge,PA,49.861225,-97.17473,2025-10-17 21:00:00,Manitoba,0,0,0.1,0.1,1.2,1,2.2,1.9,26.1,36,965.3,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
223593,Kettle Falls Schools District Office,PA,48.6104,-118.059875,2025-10-17 21:00:00,Canada_Buffer,26.8,22.1,22.6,18.7,18.3,15.5,18.3,15.5,14.6,47,955.5,18,23,27,16,19,22,icons/icon_21_18.png,icons/icon_21_23.png,icons/icon_21_27.png,icons/icon_21_16.png,icons/icon_21_19.png,icons/icon_21_22.png
223617,English Bay Beach,PA,49.284176,-123.141815,2025-10-17 21:00:00,British Columbia,2.6,2.1,2.6,2.1,3.3,2.6,7.7,5.9,17.8,47.8,1014.9,8,3,3,6,2,2,icons/icon_21_8.png,icons/icon_21_3.png,icons/icon_21_3.png,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png
223679,Seekingfire Consulting Inc - Outdoors,PA,49.21364,-123.97978,2025-10-17 21:00:00,British Columbia,2,1.8,1.9,1.7,2.3,2.1,8.2,6.3,24.3,27.3,1005,8,2,2,6,2,2,icons/icon_21_8.png,icons/icon_21_2.png,icons/icon_21_2.png,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png
223765,ACA_GallagherPark,PA,53.532684,-113.47296,2025-10-17 21:00:00,Alberta,0.3,0.3,0.6,0.5,0.5,0.5,3.3,2.9,11.1,34.8,926.8,3,1,0,3,0,0,icons/icon_21_3.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_3.png,icons/icon_21_0.png,icons/icon_21_0.png
223861,Glamorgan,PA,51.011707,-114.15037,2025-10-17 21:00:00,Alberta,0,0,0.3,0.3,0.6,0.5,1.4,1.2,14.3,33,877.2,1,0,0,1,0,0,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
224115,Masonic Near Hayes,PA,42.531075,-82.96804,2025-10-17 21:00:00,United States,2.6,2.4,2,1.9,2.1,1.9,7.6,5.8,23.7,29.7,992.7,8,2,3,6,2,2,icons/icon_21_8.png,icons/icon_21_2.png,icons/icon_21_3.png,icons/icon_21_6.png,icons/icon_21_2.png,icons/icon_21_2.png
224125,Field Level,PA,45.398575,-75.68364,2025-10-17 21:00:00,Ontario,1.7,1.5,1.1,1,1.4,1.3,1.4,1.3,18.2,27.5,1008.5,1,1,2,1,1,2,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_2.png,icons/icon_21_1.png,icons/icon_21_1.png,icons/icon_21_2.png
224147,Northeast Corner on Field,PA,43.25265,-79.82931,2025-10-17 21:00:00,Ontario,3.5,2.9,4.3,3.6,4.3,3.6,4.8,4,17.2,45,1006.3,5,4,4,4,4,3,icons/icon_21_5.png,icons/icon_21_4.png,icons/icon_21_4.png,icons/icon_21_4.png,icons/icon_21_4.png,icons/icon_21_3.png
224243,Outdoor Pool,PA,53.36261,-113.72619,2025-10-17 21:00:00,Alberta,0,0,0,0,0,0,2.2,2,14.6,25.7,922.7,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
224259,Public Works,PA,53.34485,-113.72582,2025-10-17 21:00:00,Alberta,0,0,0,0,0,0,2.5,2.2,12.8,28,923,2,0,0,2,0,0,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_2.png,icons/icon_21_0.png,icons/icon_21_0.png
224293,WCAS_Hinton2,PA,53.423798,-117.53791,2025-10-17 21:00:00,Alberta,0,0,0,0,0,0,1.3,1.1,13.1,22,892.5,1,0,0,1,0,0,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png,icons/icon_21_1.png,icons/icon_21_0.png,icons/icon_21_0.png
